analysis,seed,sigma,method,status,accuracy,selection_rate_g0,selection_rate_g1,di,fpr_g0,fpr_g1,fpr_gap,fair
noise,0,0.0,cart,SAT,0.7777777777777778,0.25925925925925924,0.8675213675213675,0.29885057471264365,0.12650602409638553,0.6987951807228916,0.572289156626506,False
noise,0,0.0,cart_group_threshold,SAT,0.5533333333333333,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,0,0.0,cert_tree,SAT,0.6222222222222222,0.47685185185185186,0.5384615384615384,0.8855820105820107,0.40963855421686746,0.37349397590361444,0.03614457831325302,True
noise,0,0.05,cart,SAT,0.78,0.25462962962962965,0.8675213675213675,0.29351395730706076,0.12048192771084337,0.6987951807228916,0.5783132530120483,False
noise,0,0.05,cart_group_threshold,SAT,0.5533333333333333,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,0,0.05,cert_tree,SAT,0.6266666666666667,0.47685185185185186,0.5299145299145299,0.8998655913978495,0.4036144578313253,0.3614457831325301,0.042168674698795205,True
noise,0,0.1,cart,SAT,0.7866666666666666,0.25462962962962965,0.8632478632478633,0.29496699669966997,0.12048192771084337,0.6746987951807228,0.5542168674698795,False
noise,0,0.1,cart_group_threshold,SAT,0.5533333333333333,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,0,0.1,cert_tree,SAT,0.6155555555555555,0.4675925925925926,0.5427350427350427,0.8615485564304463,0.40963855421686746,0.3855421686746988,0.02409638554216864,True
noise,0,0.2,cart,SAT,0.7777777777777778,0.2361111111111111,0.8632478632478633,0.2735148514851485,0.10843373493975904,0.6987951807228916,0.5903614457831325,False
noise,0,0.2,cart_group_threshold,SAT,0.5533333333333333,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,0,0.2,cert_tree,SAT,0.6177777777777778,0.4722222222222222,0.5256410256410257,0.8983739837398373,0.39759036144578314,0.3855421686746988,0.01204819277108432,True
noise,0,0.3,cart,SAT,0.7822222222222223,0.25462962962962965,0.8461538461538461,0.30092592592592593,0.13855421686746988,0.6265060240963856,0.4879518072289157,False
noise,0,0.3,cart_group_threshold,SAT,0.5533333333333333,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,0,0.3,cert_tree,SAT,0.6044444444444445,0.4537037037037037,0.5512820512820513,0.8229974160206718,0.39759036144578314,0.43373493975903615,0.03614457831325302,True
noise,0,0.4,cart,SAT,0.7622222222222222,0.26851851851851855,0.8376068376068376,0.32057823129251706,0.15060240963855423,0.6626506024096386,0.5120481927710844,False
noise,0,0.4,cart_group_threshold,SAT,0.5533333333333333,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,0,0.4,cert_tree,SAT,0.62,0.47685185185185186,0.5085470085470085,0.9376750700280113,0.4036144578313253,0.3493975903614458,0.054216867469879526,False
noise,1,0.0,cart,SAT,0.7822222222222223,0.0779816513761468,0.6422413793103449,0.12142109476017486,0.028901734104046242,0.35064935064935066,0.3217476165453044,False
noise,1,0.0,cart_group_threshold,SAT,0.5555555555555556,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,1,0.0,cert_tree,SAT,0.6422222222222222,0.4724770642201835,0.5344827586206896,0.8839893459603434,0.3930635838150289,0.33766233766233766,0.055401246152691264,False
noise,1,0.05,cart,SAT,0.7844444444444445,0.08256880733944955,0.6336206896551724,0.13031267552892717,0.03468208092485549,0.3246753246753247,0.2899932437504692,False
noise,1,0.05,cart_group_threshold,SAT,0.5555555555555556,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,1,0.05,cert_tree,SAT,0.6444444444444445,0.4724770642201835,0.5474137931034483,0.8631077078667918,0.3988439306358382,0.33766233766233766,0.06118159297350051,False
noise,1,0.1,cart,SAT,0.7911111111111111,0.09174311926605505,0.6551724137931034,0.1400289715113472,0.028901734104046242,0.36363636363636365,0.3347346295323174,False
noise,1,0.1,cart_group_threshold,SAT,0.5555555555555556,0.0,0.0,1.0,0.0,0.0,0.0,True
