analysis,dataset,seed,method,status,accuracy,selection_rate_g0,selection_rate_g1,di,fpr_g0,fpr_g1,fpr_gap,fair
stability,stability_synth,5,cart,SAT,0.8071428571428572,0.1919191919191919,0.8873873873873874,0.21627441932010458,0.08974358974358974,0.6621621621621622,0.5724185724185724,False
stability,stability_synth,5,cart_group_threshold,SAT,0.5476190476190477,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,5,cert_tree,SAT,0.6523809523809524,0.5202020202020202,0.6801801801801802,0.7648003210917118,0.4166666666666667,0.5405405405405406,0.12387387387387389,False
stability,breast_cancer_proxy,5,cart,SAT,0.9415204678362573,0.989010989010989,0.2875,0.2906944444444444,0.5,0.11290322580645161,0.3870967741935484,False
stability,breast_cancer_proxy,5,cart_group_threshold,SAT,0.3742690058479532,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,breast_cancer_proxy,5,cert_tree,SAT,0.7368421052631579,0.978021978021978,0.7875,0.8051966292134831,0.0,0.7258064516129032,0.7258064516129032,False
stability,stability_synth,6,cart,SAT,0.8071428571428572,0.13106796116504854,0.8504672897196262,0.1541128774138483,0.05454545454545454,0.6307692307692307,0.5762237762237762,False
stability,stability_synth,6,cart_group_threshold,SAT,0.5476190476190477,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,6,cert_tree,UNSAT,,,,,,,,False
stability,breast_cancer_proxy,6,cart,SAT,0.9473684210526315,0.9325842696629213,0.2804878048780488,0.30076403173670296,0.14285714285714285,0.05263157894736842,0.09022556390977443,False
stability,breast_cancer_proxy,6,cart_group_threshold,NEAR-SAT,0.9473684210526315,0.9325842696629213,0.35365853658536583,0.3792242139288863,0.14285714285714285,0.10526315789473684,0.03759398496240601,False
stability,breast_cancer_proxy,6,cert_tree,SAT,0.7134502923976608,0.9887640449438202,0.8048780487804879,0.8140243902439025,0.8571428571428571,0.7368421052631579,0.12030075187969924,False
stability,stability_synth,7,cart,SAT,0.780952380952381,0.030612244897959183,0.5803571428571429,0.05274725274725274,0.006578947368421052,0.2375,0.23092105263157894,False
stability,stability_synth,7,cart_group_threshold,SAT,0.5523809523809524,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,7,cert_tree,SAT,0.6476190476190476,0.3826530612244898,0.48660714285714285,0.7863695937090432,0.3026315789473684,0.325,0.022368421052631593,False
stability,breast_cancer_proxy,7,cart,SAT,0.9122807017543859,0.9753086419753086,0.2777777777777778,0.2848101265822785,0.0,0.09523809523809523,0.09523809523809523,False
stability,breast_cancer_proxy,7,cart_group_threshold,SAT,0.6257309941520468,1.0,1.0,1.0,1.0,1.0,0.0,True
stability,breast_cancer_proxy,7,cert_tree,SAT,0.672514619883041,0.9876543209876543,0.8555555555555555,0.86625,1.0,0.8253968253968254,0.17460317460317465,False
stability,stability_synth,8,cart,SAT,0.8071428571428572,0.12060301507537688,0.7013574660633484,0.1719565569784406,0.033112582781456956,0.38271604938271603,0.34960346660125907,False
stability,stability_synth,8,cart_group_threshold,SAT,0.5523809523809524,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,8,cert_tree,SAT,0.6404761904761904,0.5125628140703518,0.5294117647058824,0.9681742043551088,0.4304635761589404,0.32098765432098764,0.10947592183795274,False
stability,breast_cancer_proxy,8,cart,SAT,0.9064327485380117,0.9213483146067416,0.3048780487804878,0.3309042236763831,0.3333333333333333,0.10344827586206896,0.22988505747126436,False
stability,breast_cancer_proxy,8,cart_group_threshold,NEAR-SAT,0.8888888888888888,0.9213483146067416,0.34146341463414637,0.3706127305175491,0.3333333333333333,0.15517241379310345,0.17816091954022986,False
stability,breast_cancer_proxy,8,cert_tree,SAT,0.6900584795321637,0.6067415730337079,0.5121951219512195,0.8441734417344173,0.5,0.3103448275862069,0.1896551724137931,False
stability,stability_synth,9,cart,SAT,0.8095238095238095,0.13846153846153847,0.7644444444444445,0.18112701252236135,0.033783783783783786,0.4823529411764706,0.4485691573926868,False
stability,stability_synth,9,cart_group_threshold,SAT,0.5547619047619048,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,9,cert_tree,SAT,0.6904761904761905,0.2717948717948718,0.3466666666666667,0.7840236686390532,0.19594594594594594,0.09411764705882353,0.10182829888712241,False
stability,breast_cancer_proxy,9,cart,SAT,0.9064327485380117,0.9615384615384616,0.3870967741935484,0.4025806451612903,0.5,0.13333333333333333,0.3666666666666667,False
stability,breast_cancer_proxy,9,cart_group_threshold,NEAR-SAT,0.9064327485380117,0.9615384615384616,0.3870967741935484,0.4025806451612903,0.5,0.13333333333333333,0.3666666666666667,False
stability,breast_cancer_proxy,9,cert_tree,SAT,0.6666666666666666,0.9871794871794872,0.9139784946236559,0.9258483452031838,1.0,0.8666666666666667,0.1333333333333333,False
stability,stability_synth,10,cart,SAT,0.8285714285714286,0.10837438423645321,0.7142857142857143,0.15172413793103448,0.03125,0.34782608695652173,0.31657608695652173,False
stability,stability_synth,10,cart_group_threshold,SAT,0.5452380952380952,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,10,cert_tree,SAT,0.6666666666666666,0.43842364532019706,0.5253456221198156,0.8345432546884454,0.3125,0.37681159420289856,0.06431159420289856,False
stability,breast_cancer_proxy,10,cart,SAT,0.9181286549707602,0.963855421686747,0.375,0.3890625,0.4,0.13559322033898305,0.264406779661017,False
stability,breast_cancer_proxy,10,cart_group_threshold,NEAR-SAT,0.9122807017543859,0.963855421686747,0.38636363636363635,0.4008522727272727,0.4,0.15254237288135594,0.24745762711864408,False
stability,breast_cancer_proxy,10,cert_tree,SAT,0.6842105263157895,0.9759036144578314,0.8636363636363636,0.8849607182940517,0.6,0.8305084745762712,0.23050847457627122,False
stability,stability_synth,11,cart,SAT,0.8214285714285714,0.085,0.7227272727272728,0.11761006289308176,0.026143790849673203,0.34615384615384615,0.3200100553041729,False
stability,stability_synth,11,cart_group_threshold,SAT,0.55,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,11,cert_tree,SAT,0.6571428571428571,0.405,0.5181818181818182,0.781578947368421,0.33986928104575165,0.2948717948717949,0.04499748617395677,False
stability,breast_cancer_proxy,11,cart,SAT,0.9415204678362573,0.9888888888888889,0.2716049382716049,0.2746566791510611,0.8333333333333334,0.034482758620689655,0.7988505747126438,False
stability,breast_cancer_proxy,11,cart_group_threshold,NEAR-SAT,0.8830409356725146,0.9888888888888889,0.41975308641975306,0.42446941323345816,0.8333333333333334,0.22413793103448276,0.6091954022988506,False
stability,breast_cancer_proxy,11,cert_tree,SAT,0.6549707602339181,0.5666666666666667,0.5308641975308642,0.9368191721132898,0.5,0.3448275862068966,0.15517241379310343,False
stability,stability_synth,12,cart,SAT,0.7595238095238095,0.0966183574879227,0.8169014084507042,0.11827419623521572,0.02631578947368421,0.6233766233766234,0.5970608339029392,False
stability,stability_synth,12,cart_group_threshold,SAT,0.5452380952380952,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,12,cert_tree,SAT,0.6714285714285714,0.5024154589371981,0.6431924882629108,0.781127684333016,0.39473684210526316,0.44155844155844154,0.046821599453178375,False
stability,breast_cancer_proxy,12,cart,SAT,0.8947368421052632,0.9058823529411765,0.2558139534883721,0.2823920265780731,0.25,0.06666666666666667,0.18333333333333335,False
stability,breast_cancer_proxy,12,cart_group_threshold,NEAR-SAT,0.8654970760233918,0.9058823529411765,0.36046511627906974,0.39791603745092113,0.25,0.18333333333333332,0.06666666666666668,False
stability,breast_cancer_proxy,12,cert_tree,SAT,0.7309941520467836,0.9882352941176471,0.7558139534883721,0.7648117386489479,0.75,0.6833333333333333,0.06666666666666665,False
stability,stability_synth,13,cart,SAT,0.8142857142857143,0.0861244019138756,0.7203791469194313,0.1195542684462352,0.024390243902439025,0.3787878787878788,0.35439763488543974,False
stability,stability_synth,13,cart_group_threshold,SAT,0.5476190476190477,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,13,cert_tree,SAT,0.6190476190476191,0.42105263157894735,0.5118483412322274,0.8226120857699806,0.36585365853658536,0.3484848484848485,0.01736881005173685,True
stability,breast_cancer_proxy,13,cart,SAT,0.9005847953216374,0.9775280898876404,0.3048780487804878,0.31188673955705076,0.6,0.13559322033898305,0.46440677966101696,False
stability,breast_cancer_proxy,13,cart_group_threshold,NEAR-SAT,0.9005847953216374,0.9775280898876404,0.3048780487804878,0.31188673955705076,0.6,0.13559322033898305,0.46440677966101696,False
stability,breast_cancer_proxy,13,cert_tree,SAT,0.7309941520467836,0.9887640449438202,0.7682926829268293,0.7770232815964524,0.8,0.6949152542372882,0.10508474576271187,False
stability,stability_synth,14,cart,SAT,0.7928571428571428,0.13612565445026178,0.7903930131004366,0.1722252755199445,0.058823529411764705,0.5569620253164557,0.49813849590469095,False
stability,stability_synth,14,cart_group_threshold,SAT,0.5523809523809524,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,14,cert_tree,SAT,0.6738095238095239,0.36649214659685864,0.5545851528384279,0.660840169847879,0.28104575163398693,0.379746835443038,0.09870108380905107,False
stability,breast_cancer_proxy,14,cart,SAT,0.9532163742690059,0.9873417721518988,0.358695652173913,0.36329431438127086,0.6666666666666666,0.06557377049180328,0.6010928961748634,False
stability,breast_cancer_proxy,14,cart_group_threshold,NEAR-SAT,0.9181286549707602,0.9873417721518988,0.42391304347826086,0.4293478260869565,0.6666666666666666,0.16393442622950818,0.5027322404371585,False
stability,breast_cancer_proxy,14,cert_tree,SAT,0.6549707602339181,0.9873417721518988,0.9347826086956522,0.9467670011148273,1.0,0.9016393442622951,0.09836065573770492,False
stability,stability_synth,15,cart,SAT,0.7857142857142857,0.11594202898550725,0.8450704225352113,0.13719806763285025,0.05521472392638037,0.6461538461538462,0.5909391222274658,False
stability,stability_synth,15,cart_group_threshold,SAT,0.5428571428571428,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,15,cert_tree,SAT,0.6404761904761904,0.4444444444444444,0.5117370892018779,0.8685015290519879,0.36809815950920244,0.3076923076923077,0.06040585181689473,False
stability,breast_cancer_proxy,15,cart,SAT,0.9298245614035088,0.9545454545454546,0.20481927710843373,0.21457257601835913,0.6,0.0,0.6,False
stability,breast_cancer_proxy,15,cart_group_threshold,SAT,0.6257309941520468,1.0,1.0,1.0,1.0,1.0,0.0,True
