dataset,source,seed,method,status,runtime_sec,checked,num_splits,min_accuracy_target,accuracy,selection_rate_g0,selection_rate_g1,di,fpr_g0,fpr_g1,fpr_gap,fair
breast_cancer_proxy,real_proxy,1,cart_group_threshold,NEAR-SAT,0.010478400014108047,361,,,0.9122807017543859,0.9550561797752809,0.4024390243902439,0.42137733142037304,0.4,0.1864406779661017,0.21355932203389832,False
breast_cancer_proxy,real_proxy,1,cert_tree,UNSAT,2.030140599992592,93312,18.0,0.8623115577889447,,,,,,,,False
wine_proxy,real_proxy,1,cart,SAT,0.00048409998998977244,0,0.0,,0.9074074074074074,0.8928571428571429,0.46153846153846156,0.5169230769230769,0.5,0.125,0.375,False
wine_proxy,real_proxy,1,cart_group_threshold,NEAR-SAT,0.008362399996258318,361,,,0.9074074074074074,0.8214285714285714,0.46153846153846156,0.5618729096989967,0.0,0.125,0.125,False
wine_proxy,real_proxy,1,cert_tree,UNSAT,1.5774001000099815,78608,17.0,0.8758064516129033,,,,,,,,False
diabetes_proxy,real_proxy,1,cart,SAT,0.0007532000017818063,0,0.0,,0.7443609022556391,0.4927536231884058,0.640625,0.7691763874160481,0.20689655172413793,0.40540540540540543,0.1985088536812675,False
diabetes_proxy,real_proxy,1,cart_group_threshold,SAT,0.00979650000226684,361,,,0.7443609022556391,0.4927536231884058,0.640625,0.7691763874160481,0.20689655172413793,0.40540540540540543,0.1985088536812675,False
diabetes_proxy,real_proxy,1,cert_tree,SAT,1.9859198000049219,93312,18.0,0.6540453074433658,0.7368421052631579,0.4492753623188406,0.546875,0.8215320910973085,0.1724137931034483,0.32432432432432434,0.15191053122087605,False
synthetic_mild,synthetic,2,cart,SAT,0.0015968999941833317,0,0.0,,0.7395833333333334,0.2857142857142857,0.8203125,0.34829931972789113,0.15,0.6504854368932039,0.5004854368932039,False
synthetic_mild,synthetic,2,cart_group_threshold,SAT,0.013099999981932342,361,,,0.5479166666666667,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_mild,synthetic,2,cert_tree,SAT,2.2251103000016883,78608,17.0,0.6553571428571429,0.6666666666666666,0.22767857142857142,0.2578125,0.8831168831168831,0.1125,0.11650485436893204,0.00400485436893204,True
synthetic_medium,synthetic,2,cart,SAT,0.0015574000135529786,0,0.0,,0.7729166666666667,0.17916666666666667,0.8083333333333333,0.22164948453608246,0.07471264367816093,0.5795454545454546,0.5048328108672937,False
synthetic_medium,synthetic,2,cart_group_threshold,SAT,0.013175300002330914,361,,,0.5458333333333333,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_medium,synthetic,2,cert_tree,UNSAT,2.287228500004858,78608,17.0,0.7080357142857143,,,,,,,,False
synthetic_extreme,synthetic,2,cart,SAT,0.0018518999859225005,0,0.0,,0.8458333333333333,0.05092592592592592,0.8295454545454546,0.061390157280568236,0.03125,0.5277777777777778,0.4965277777777778,False
synthetic_extreme,synthetic,2,cart_group_threshold,SAT,0.013170199992600828,361,,,0.55,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_extreme,synthetic,2,cert_tree,UNSAT,2.260016500018537,78608,17.0,0.8117857142857143,,,,,,,,False
breast_cancer_proxy,real_proxy,2,cart,SAT,0.0017992999928537756,0,0.0,,0.9415204678362573,0.9666666666666667,0.32098765432098764,0.33205619412515963,0.5,0.08620689655172414,0.41379310344827586,False
breast_cancer_proxy,real_proxy,2,cart_group_threshold,NEAR-SAT,0.010677599988412112,361,,,0.9298245614035088,0.9666666666666667,0.345679012345679,0.35759897828863346,0.5,0.1206896551724138,0.3793103448275862,False
breast_cancer_proxy,real_proxy,2,cert_tree,UNSAT,2.0461708000220824,93312,18.0,0.8597989949748744,,,,,,,,False
wine_proxy,real_proxy,2,cart,SAT,0.0004652000206988305,0,0.0,,0.9629629629629629,0.896551724137931,0.4,0.4461538461538462,0.0,0.0625,0.0625,False
wine_proxy,real_proxy,2,cart_group_threshold,NEAR-SAT,0.007924499979708344,361,,,0.9629629629629629,0.896551724137931,0.4,0.4461538461538462,0.0,0.0625,0.0625,False
wine_proxy,real_proxy,2,cert_tree,UNSAT,1.552024899981916,78608,17.0,0.8758064516129033,,,,,,,,False
diabetes_proxy,real_proxy,2,cart,SAT,0.0005470000032801181,0,0.0,,0.7443609022556391,0.4647887323943662,0.6935483870967742,0.6701604978709466,0.20588235294117646,0.45454545454545453,0.24866310160427807,False
diabetes_proxy,real_proxy,2,cart_group_threshold,SAT,0.009520399995381013,361,,,0.7443609022556391,0.4647887323943662,0.6935483870967742,0.6701604978709466,0.20588235294117646,0.45454545454545453,0.24866310160427807,False
diabetes_proxy,real_proxy,2,cert_tree,SAT,1.970543599978555,93312,18.0,0.6572815533980583,0.7293233082706767,0.43661971830985913,0.5967741935483871,0.7316330414921963,0.20588235294117646,0.36363636363636365,0.15775401069518719,False
synthetic_mild,synthetic,3,cart,SAT,0.0016169000009540468,0,0.0,,0.7458333333333333,0.2314410480349345,0.7768924302788844,0.2979061695218901,0.08387096774193549,0.5887850467289719,0.5049140789870364,False
synthetic_mild,synthetic,3,cart_group_threshold,SAT,0.012819600000511855,361,,,0.5458333333333333,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_mild,synthetic,3,cert_tree,UNSAT,2.2606171000225004,78608,17.0,0.6589285714285714,,,,,,,,False
synthetic_medium,synthetic,3,cart,SAT,0.0015702999953646213,0,0.0,,0.8020833333333334,0.18032786885245902,0.7966101694915254,0.22636902685734217,0.08900523560209424,0.527027027027027,0.43802179142493275,False
synthetic_medium,synthetic,3,cart_group_threshold,SAT,0.012707399990176782,361,,,0.5520833333333334,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_medium,synthetic,3,cert_tree,UNSAT,2.227161699993303,78608,17.0,0.7348214285714286,,,,,,,,False
synthetic_extreme,synthetic,3,cart,SAT,0.001589299994520843,0,0.0,,0.85625,0.030303030303030304,0.8554216867469879,0.03542466922748613,0.009708737864077669,0.5964912280701754,0.5867824902060977,False
synthetic_extreme,synthetic,3,cart_group_threshold,SAT,0.012781299999915063,361,,,0.5479166666666667,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_extreme,synthetic,3,cert_tree,UNSAT,2.249857400020119,78608,17.0,0.8189285714285715,,,,,,,,False
